"Company","Team Category","Team Sub-Category","Social Copy","Content Pillar","Category",,
"Tiger","GTM ",,"AI models are evolving fast, but not as fast as the people building them.

Join us at trAIbe 8.0 where we're bringing together developers, data scientists and AI professionals for an afternoon of deep tech discussions, real-world lessons, and conversations on the skills and mindsets shaping the future of AI.

In his keynote, Sudalai Rajkumar - SRK, AI leader at Tiger Analytics, shares insights on the realities of scaling agentic AI, covering: 
🔸 From prototype to production: building scalable Agentic AI systems
🔸Context pipelines, memory management, evaluation and observability in enterprise AI

The event also features a fireside chat with Kshitiz Aggarwal (Microsoft) and Chiradeep Mukherjee on:
🔸How AI professionals can future-proof their careers in the Agentic AI age
🔸 The blurring lines between ML, Gen AI & MLOps

📍 November 15 | 2:00 PM – 5:00 PM | Tiger Analytics Office, Bengaluru

Register now: https://lnkd.in/d7Aq9kCt","Events","Personal",,
"Tiger","GTM ","ROW Events","RGM Reimagined!

At the Consumer Pricing & Revenue Growth Management Summit Europe, our team led a hands-on workshop on Interconnected RGM, co-hosted by Claudius Roth from Imperial Brands. Together, we explored what it takes to operationalize RGM at scale, from governance frameworks that hold across regions to data-driven flexibility that adapts to market realities.

The session brought together RGM leaders and practitioners who shared real examples of how pricing, promotions, and portfolio decisions evolve when insight flows seamlessly across teams. Key discussions included:
➡️ Practical frameworks for scaling RGM capabilities.
➡️ Success stories that show what works and what doesn’t in global execution.
➡️ A case study that unpacked the tension between global consistency and local agility.

Zahid Hossain, AVP – Global Business at Tiger Analytics, also joined a panel on Vendor–Retailer collaboration, emphasizing how shared insights and structured communication are essential to move from negotiation to partnership.

It was great to connect with leaders shaping the future of RGM through innovation, collaboration, and practical execution. Thanks to everyone who joined and contributed.
","Events","Personal",,
"Tiger","Talent Branding",,"🟧🟨🟩 A great career in AI is built like a game of Tetris. Every project adds a new piece to your stack: Some test your optimization skills, while others stretch your design thinking. Each one shapes how you approach the next move. The pace quickens, the board fills up, but with every fit, you see the pattern forming. 

At Tiger Analytics, it’s the variety across projects and domains that helps us level up – optimizing demand forecasts for global retailers with probabilistic ML models, fine-tuning recommender systems for edge latency, designing LLM agents for claims processing in insurance, generating synthetic data to test fraud models in banking, and building retrieval-augmented pipelines for faster insight generation in manufacturing. Add in peer-led learning, open design reviews, and deep dives across data science, MLOps, and platform engineering, and you get the perfect alignment between skill, curiosity, and growth.

🎥 Hear from our AI leader, Sudalai Rajkumar - SRK, on how we’re building for CertAInty, one block and one breakthrough at a time.
","Others","Personal",,
"Tiger","GTM ","Client relations","How can one of the world’s largest dairy cooperatives push the boundaries of what’s possible with AI?

We explored this question with FrieslandCampina’s CDAO, Joëlle van der Bijl, and her leadership team during their visit to our Bengaluru office. 

A big thank-you to Joëlle, Debaparna, and Mayank for sharing your insights on how emerging technologies can make organizations more agile and customer-focused in a VUCA world.

The day was packed with interactive sessions and live demos of AI solutions that create impact across key enterprise functions, featuring:
➡️ AgentFlow, a codified, open-source factory for building and managing AI agents, powering Agentic AI use cases across key processes.
➡️ Stripes AI, a platform transforming sustain operations with summarization, resolution automation, and centralized monitoring.
➡️ Sense AI, focused on explainable and trustworthy AI-led insights.

The day captured what we value most at Tiger Analytics: open dialogue, co-creation, and a shared belief in using AI responsibly to create real value. We look forward to deepening this collaboration and turning ideas we exchanged into action.","Others","Authority",,
"Tiger","P&A","Events","Powering the next wave of AI-led innovation in Retail, QSR, and Travel!

In Plano, Texas, leaders from Tiger Analytics and Databricks came together to reimagine how data and AI can drive smarter decisions and richer customer experiences.

With Peter French, Regional Director, Travel & Hospitality at Databricks, steering engaging discussions, the sessions sparked fresh perspectives on accelerating transformation and scaling impact across industries.

Excited about the continued momentum of the Tiger–Databricks partnership in shaping the future of AI innovation for global enterprises.
","Events","Personal",,
"Tiger","Talent Branding","Hiring","We’re expanding our team of Data Engineers to design and deliver next-generation data and AI platforms using Azure and Databricks.

At Tiger Analytics, every solution is built with purpose, transforming data into intelligence and intelligence into impact. Be part of a team that combines innovation, collaboration, and deep technical craft to power confident decisions across industries. 

Join us and build data solutions that make a real difference. Apply today!

Azure Databricks Lead (Data Engineer / Senior Data Engineer) - https://lnkd.in/gQY5Zyu5","Hiring","CTA",,
"Tiger","GTM ","Events","The real challenge with AI Agents isn't the 'what,' it's the 'how.'

Moving from a clever pilot to scaled enterprise impact is the conversation that matters most right now. We're excited to be at the center of it at the CDO Magazine NYC Leadership Summit happening at The Westin New York at Times Square.

Join our Head of BU, Deepak Khetpal, as he moderates the “Data, Dollars, and Decisions” panel featuring leaders from Bloomberg, Forbes, Barclays, JPMorgan Chase, and Greenland Capital. Together, they’ll explore how data becomes a decisive engine for growth.

🗓️ 20 November, 2025
🕗 9:35 AM – 10:25 AM
📍 Gramercy, 4th Floor

Want to discuss your own strategy? Visit us at Booth #9 and our team will be happy to discuss about scaling your AI initiatives. See you there.

More about the event: https://lnkd.in/dTYXahZZ","Events","CTA",,
"Tiger","P&A","Events","Retail is being redefined by how intelligently we connect data, decisions, and experiences.

At the AWS event, Transforming the Future of Retail, we joined industry and technology leaders to explore what this new connected intelligence looks like and how it is reshaping the way value is created across retail and consumer ecosystems.

In a fireside chat, Sethuraman Janardhanan, PhD from Tiger Analytics and Ruohan Liu from PepsiCo shared how data and AI are helping organizations reimagine agriculture supply chains by turning insight into action for smarter and more sustainable operations.

In another session, Badrish Prakash reflected on how enterprises are moving beyond GenAI pilots to build AI responsibly and at scale, focusing on measurable ROI, built-in governance, and stronger data foundations.

Thanks to AWS for bringing together such thoughtful voices and industry experts for conversations that went beyond what's possible and into what's next.","Events","CTA",,
"Tiger","GTM ","Events/Hiring","At trAIbe 8.0, Tiger Analytics brings together AI, ML, and Data Science professionals for an afternoon of learning, exploration, and innovation. 

Sudalai Rajkumar - SRK, our AI Leader, will share insights on real-world challenges of building Agentic AI Systems from context pipelines to memory management, evaluation frameworks, and observability backed by hands-on experience from Tiger Analytics experts.

Register now to be part of trAIbe 8.0: https://lnkd.in/gibNe3iU","Events","CTA",,
"Tiger","P&A",,"We are thrilled to be a part of the Snowflake Intelligence Launch Partner ecosystem, helping enterprises operationalize reasoning within their data environment.

Snowflake Intelligence connects natural language understanding, retrieval, and governed execution directly inside the Snowflake Data Cloud. For instance, a customer analytics team can ask “Why did last night’s customer churn spike in Region South?” and receive a transparent answer that connects renewal data, communication logs, and service metrics within the same secure environment.

This is just one of the many possibilities. From diagnosing data pipeline failures to optimizing operations, Snowflake Intelligence is extending the scope of what AI can reason and act on, securely and in context.

Together with Snowflake, we are enabling Enterprise Intelligence Agents that move beyond insights to decisions, with trust and explainability built in.

Read the full blog to see how this shift is shaping the next phase of enterprise AI: https://lnkd.in/dHYuhHK7","Events","CTA",,
"Tiger","P&A",,"Sifting through manuals during a critical operation isn't just slow, it's a risk.

For a fleet as large as OSM Thome's, ensuring every team member could apply the correct safety protocol instantly was a complex data challenge. We partnered with them and built a generative AI assistant, ASK OSMTHOME, that integrates Microsoft Azure OpenAI and Cognitive Search to unify all their safety knowledge into one conversational interface.

Now, teams get the right safety information in seconds. It’s a 98.8% gain in decision efficiency, but more importantly, it's greater confidence and safety for everyone on board.

Here’s the full story: https://lnkd.in/dfq5HyTD ","Thought Leadership","authority",,
"Tiger","GTM ","Events","Your AI pilots work in the lab. But can they work at enterprise scale, handling real-world complexity to transform how you operate?

This is exactly what we're showcasing at Microsoft Ignite 2025.

Join us in San Francisco from November 18 to 21 as we share our lessons from the field on how enterprises can move beyond pilots to production-grade Generative AI and Agentic AI solutions that deliver impact.

Explore our Azure Marketplace-ready solutions, from AI-powered enterprise search and insights copilots to industry-specific agentic frameworks. See how we turn data into real-time intelligence for Retail, CPG, Financial Services, Manufacturing, and Healthcare, powered by secure, scalable MLOps and governance architectures built for enterprise scale.

Join our leadership team: Mahesh Kumar, Kishor Gummaraju, Greg Gomez, Badrish Prakash, and Anupam Bhargava as they explore how enterprises can operationalize AI with clarity and confidence. 

Book a slot today: https://lnkd.in/gsEWNGPk","Events","CTA",,
"Tiger","GTM ","Events","From Data to Agentic AI: Join us at Forrester Technology & Innovation Summit North America!​

🤖 This journey is the core theme of this year's big event, and Tiger Analytics is thrilled to be right in the middle of the conversation!​

📍 We'll be in Austin (and digital) from Nov 2–5, diving deep into this year's theme. Find us at Booth hashtag#K2​

Why connect with us? This year's theme, ""From Data Modernization to Agentic AI,"" is more than just a concept—it's the core of our work. As your end-to-end AI & Analytics partner, we're helping leaders navigate this exact journey and turn vision into reality.​

🤝 Attending? Let's meet up! Our leaders, Randall Nufer and Kamlesh Singh, are eager to discuss tailored strategies, share actionable AI and analytics solutions, and explore opportunities to directly impact your business goals.​

Comment or DM us to connect—we'd love to chat.​

For more details on the event, check out the official Forrester site: https://lnkd.in/gxtmnTnZ​","Events","CTA",,
"Tiger","GTM ","Panel Discussion","Quick-commerce is redefining supply chain operations. But what does retail analytics actually look like when you're optimizing for 10-minute deliveries?

On October 31 at 6:00 PM IST, Kakul Paul, Delivery Unit Leader at Tiger Analytics, will join an online panel discussion on “Supply Chain Excellence in Quick-Commerce: Data-Driven Decisions and Research Opportunities.”

Kakul will share perspectives on:
🔸 How retail analytics at Tiger Analytics applies to quick-commerce
🔸 Key differences between traditional retail and quick-commerce analytics
🔸 Analytical approaches that address quick-commerce decision models
🔸 Whether existing retail models can be adapted or if new frameworks are needed
🔸 Actionable insights for practitioners navigating this evolving space

She will be joined by Kannan Subramanian (Flipkart), who will discuss fulfillment operations, and Anish Shrivastava (Blinkit), who will focus on revenue management and growth—bringing together three complementary viewpoints on what drives decision-making in quick-commerce.
This conversation will delve into real challenges, emerging opportunities, and the analytics strategies reshaping the industry.

Date: October 31, 2025
Time: 6:00 PM IST
Register here: https://lnkd.in/duadnWUh","Events","CTA",,
